user_id,name,email,country,city,platform,signup_date,subscription_type,age,gender
usr_000053,سلطان,سلطان_8654@gmail.com,BH,Buraidah,smart_speaker,18/09/2022,premium_annual,,M
usr_000054,Khalid,khalid_257@hotmail.com,MA,Tabuk,ios,04/01/2021,premium_annual,31,m
usr_000055,Hassan,hassan_6851@hotmail.com,FR,,web,2020-08-22,premium_annual,26,female
usr_000056,عمر,عمر_9061@outlook.sa,EG,Buraidah,smart_speaker,2024-01-20,free,34,
usr_000057,Fahad,fahad_6384@yahoo.com,OM,Riyadh,web,2023-04-06,trial,33,M
usr_000058,محمد,محمد_1469@yahoo.com,LB,Buraidah,web,2024-09-29,trial,,female
usr_000059,نورة,نورة_6238@hotmail.com,KW,Medina,smart_speaker,2021-09-21,premium,,female
usr_000060,ريم,ريم_8124@icloud.com,MA,Jeddah,android,2023-01-19,premium_annual,,female
usr_000061,طارق,طارق_9739@hotmail.com,QA,Mecca,smart_speaker,2022-09-11,premium_annual,41,male
usr_000062,لمياء,لمياء_6438@yahoo.com,AE,,android,19/09/2021,premium,51,M
usr_000063,Abdullah,abdullah_6704@outlook.sa,KW,Mecca,web,2022-04-08T00:00:00,premium,40,M
usr_000064,عمر,عمر_8797@icloud.com,US,,ios,10/09/2023,premium,38,F
usr_000065,عائشة,عائشة_4654@gmail.com,QA,Taif,web,2023-07-05,premium,55,m
usr_000066,Abdullah,abdullah_1902@hotmail.com,OM,Abha,android,31/08/2023,trial,22,female
usr_000067,خالد,خالد_1792@hotmail.com,UK,Dammam,car_play,2020-04-16,premium,43,female
usr_000068,حسن,حسن_3233@outlook.sa,MA,Riyadh,android,2023-11-06T00:00:00,premium,61,
usr_000069,لمياء,لمياء_8020@icloud.com,US,Tabuk,car_play,2021-03-18T00:00:00,trial,38,male
usr_000070,Khalid,khalid_1932@hotmail.com,QA,Khobar,android,2019-12-14,trial,24,m
usr_000071,فاطمة,فاطمة_4733@hotmail.com,KW,Abha,car_play,2020-12-10,free,16,female
usr_000072,Tariq,,UK,,smart_speaker,01/09/2024,premium,,M
usr_000073,منى,منى_9268@outlook.sa,LB,Buraidah,ios,28/03/2022,premium_annual,39,m
usr_000074,ريم,ريم_4878@gmail.com,JO,Jeddah,smart_speaker,10-08-2023,free,31,F
usr_000075,Sarah,sarah_3391@gmail.com,MA,Medina,car_play,2020-11-10,premium,61,male
usr_000076,طارق,طارق_972@yahoo.com,FR,Dammam,android,26/01/2020,premium,31,
usr_000077,عبدالله,عبدالله_1526@outlook.sa,LB,,web,2023-08-24,trial,36,m
usr_000078,Omar,omar_1038@icloud.com,EG,Tabuk,android,21/02/2024,trial,34,male
usr_000079,منى,منى_267@gmail.com,FR,Abha,ios,18/07/2019,trial,60,F
usr_000080,Lamia,lamia_1351@yahoo.com,US,,android,18/01/2020,free,35,f
usr_000081,عبدالله,عبدالله_2175@icloud.com,BH,Abha,ios,05/01/2019,free,23,
usr_000082,عمر,عمر_4903@hotmail.com,EG,,android,2020-02-24,premium,,m
usr_000083,Fahad,fahad_6746@icloud.com,US,Mecca,ios,22/05/2021,free,23,m
usr_000084,عبدالله,عبدالله_4066@icloud.com,MA,Buraidah,web,2021-10-11,free,58,male
usr_000085,أحمد,أحمد_3922@outlook.sa,EG,Abha,car_play,24/05/2023,free,16,male
usr_000086,نورة,نورة_7718@gmail.com,SA,Riyadh,web,05/02/2023,premium,,M
usr_000087,ياسر,ياسر_1351@icloud.com,LB,Medina,ios,29/08/2023,premium_annual,,F
usr_000088,طارق,,BH,Tabuk,ios,09-28-2019,trial,19,male
usr_000089,عمر,عمر_8569@icloud.com,DE,,web,02-16-2019,premium,63,
usr_000090,عبدالله,عبدالله_4309@icloud.com,US,Abha,car_play,25/10/2023,premium_annual,,
usr_000091,عائشة,عائشة_43@gmail.com,FR,,android,2020-04-17,free,40,F
usr_000092,ريم,ريم_6820@yahoo.com,QA,,car_play,2023-09-14,premium_annual,59,M
usr_000093,منى,منى_4626@yahoo.com,OM,Abha,ios,2023-07-01,premium_annual,52,
usr_000094,Sarah,sarah_8955@hotmail.com,KW,Tabuk,ios,13/07/2024,premium,56,
usr_000095,Hind,,LB,,smart_speaker,2023-03-22,trial,25,f
usr_000096,Omar,omar_7512@gmail.com,MA,Dammam,smart_speaker,19/08/2023,free,19,female
usr_000097,Khalid,khalid_5212@outlook.sa,QA,Mecca,android,29/05/2023,free,26,female
usr_000098,منى,منى_4342@gmail.com,AE,Medina,car_play,2021-04-30,free,36,F
usr_000099,Lamia,,EG,,car_play,20/07/2019,premium,,M
usr_000100,ياسر,ياسر_6099@gmail.com,MA,Jeddah,ios,29/06/2021,free,57,female
usr_000101,منى,منى_830@hotmail.com,MA,Tabuk,smart_speaker,2020-05-16,free,43,F
usr_000102,Ahmed,ahmed_4027@yahoo.com,JO,Taif,smart_speaker,2024-01-01,free,,female
usr_000103,عبدالله,عبدالله_1526@outlook.sa,LB,,web,2021-10-25,trial,36,m
usr_000104,Lamia,lamia_960@outlook.sa,LB,Buraidah,android,2019-05-01,premium,58,F
usr_000105,Reem,reem_9433@outlook.sa,OM,,android,18/08/2019,premium,36,
usr_000106,لمياء,لمياء_6438@yahoo.com,AE,,android,2022-12-12,premium,51,M
usr_000107,Sarah,sarah_2138@yahoo.com,UK,Khobar,ios,2022-09-20T00:00:00,free,61,F
usr_000108,خالد,خالد_4945@yahoo.com,KW,,smart_speaker,2023-06-09T00:00:00,trial,27,f
usr_000109,هند,هند_2087@hotmail.com,UK,Buraidah,smart_speaker,19/12/2020,free,36,
usr_000110,عبدالله,عبدالله_3900@yahoo.com,OM,Jeddah,web,2020-07-30,trial,,F
usr_000111,Ahmed,ahmed_6324@outlook.sa,UK,Dammam,smart_speaker,2020-03-18,trial,38,m
usr_000112,عبدالله,عبدالله_548@yahoo.com,SA,Jeddah,ios,2021-07-12T00:00:00,premium_annual,40,F
usr_000113,Tariq,tariq_2704@icloud.com,EG,Jeddah,web,2024-05-31T00:00:00,premium,42,f
usr_000114,زينب,,KW,Riyadh,smart_speaker,28/01/2020,free,58,f
usr_000115,Fatima,fatima_1893@yahoo.com,DE,Abha,web,2022-04-10,free,40,F
usr_000116,منى,منى_4316@hotmail.com,FR,Riyadh,android,02/07/2019,free,,male
usr_000117,Aisha,aisha_6859@icloud.com,US,,smart_speaker,2019-09-07T00:00:00,premium,21,female
usr_000118,منى,منى_2833@hotmail.com,BH,,android,2020-08-26,free,59,female
usr_000119,عبدالله,عبدالله_1426@outlook.sa,LB,Khobar,web,2021-11-22T00:00:00,trial,16,
usr_000120,Zainab,zainab_1655@yahoo.com,FR,Khobar,smart_speaker,15/02/2020,premium_annual,47,m
usr_000121,خالد,خالد_3893@gmail.com,UK,Medina,web,2023-07-04,free,35,male
usr_000122,Reem,reem_2202@yahoo.com,UK,Khobar,web,02-07-2020,trial,21,F
usr_000123,Aisha,aisha_2605@gmail.com,QA,,smart_speaker,2023-03-12,premium,49,m
usr_000124,منى,منى_829@yahoo.com,UK,Khobar,smart_speaker,2019-08-25,trial,23,f
usr_000125,Fatima,fatima_9616@icloud.com,OM,Medina,ios,2020-12-28,premium_annual,,M
usr_000126,Sarah,sarah_4409@outlook.sa,LB,Riyadh,smart_speaker,2021-06-25,premium,54,
usr_000127,Lamia,lamia_6944@outlook.sa,FR,Medina,android,06-05-2022,trial,49,
usr_000128,حسن,حسن_9979@yahoo.com,QA,Abha,ios,13/03/2023,premium_annual,56,male
usr_000129,عائشة,عائشة_3938@gmail.com,DE,,car_play,2022-05-08T00:00:00,trial,59,F
usr_000130,Zainab,zainab_9373@hotmail.com,OM,,android,2023-05-10T00:00:00,trial,58,male
usr_000131,لمياء,لمياء_9160@hotmail.com,US,,ios,2020-02-04,premium,63,
usr_000132,منى,منى_1930@outlook.sa,SA,,car_play,2021-12-03,free,28,m
usr_000133,فهد,فهد_2251@hotmail.com,OM,Buraidah,smart_speaker,20/08/2023,premium,61,F
usr_000134,Reem,reem_4915@gmail.com,US,,ios,2019-09-19,free,40,m
usr_000135,Khalid,khalid_8701@hotmail.com,SA,Mecca,android,09/03/2023,premium_annual,22,female
usr_000136,عائشة,عائشة_9771@icloud.com,OM,Dammam,web,04-06-2022,trial,28,F
usr_000137,محمد,محمد_9662@icloud.com,KW,Riyadh,smart_speaker,21/06/2020,premium_annual,55,M
usr_000138,Tariq,tariq_7280@outlook.sa,AE,Abha,android,2019-07-17,premium,56,M
usr_000139,Fahad,fahad_6863@gmail.com,LB,,ios,2022-01-10,premium_annual,22,female
usr_000140,طارق,طارق_4840@hotmail.com,SA,Mecca,smart_speaker,2021-04-06,premium_annual,16,f
usr_000141,عبدالله,عبدالله_8384@gmail.com,UK,,web,16/07/2024,premium,34,male
usr_000142,خالد,خالد_6980@gmail.com,AE,,ios,2022-04-05,free,58,f
usr_000143,Abdullah,abdullah_6106@yahoo.com,KW,Tabuk,smart_speaker,03/01/2022,premium_annual,60,
usr_000144,Ahmed,,EG,,smart_speaker,2020-06-26,trial,40,
usr_000145,فاطمة,فاطمة_1851@outlook.sa,JO,Medina,web,2020-06-19T00:00:00,free,59,m
usr_000146,حسن,حسن_1561@outlook.sa,US,,smart_speaker,2022-10-17,premium_annual,57,female
usr_000147,نورة,نورة_8284@outlook.sa,FR,Dammam,ios,2019-08-12,trial,37,male
usr_000148,Abdullah,abdullah_7522@outlook.sa,DE,Jeddah,smart_speaker,10/07/2023,trial,47,f
usr_000149,Hassan,hassan_4991@icloud.com,LB,Abha,web,2019-01-01T00:00:00,premium_annual,30,
usr_000150,ريم,ريم_36@yahoo.com,OM,,web,2024-01-28T00:00:00,premium_annual,18,F
usr_000151,ياسر,ياسر_3533@outlook.sa,FR,,web,2021-03-13T00:00:00,free,18,f
usr_000152,فاطمة,فاطمة_72@icloud.com,UK,Tabuk,car_play,27/08/2024,trial,65,F
usr_000153,ياسر,ياسر_6860@icloud.com,UK,,web,11/08/2022,trial,34,female
usr_000154,مريم,مريم_5144@icloud.com,US,Mecca,car_play,2024-09-29T00:00:00,premium_annual,59,F
usr_000155,Omar,omar_9213@outlook.sa,MA,Tabuk,car_play,2022-08-13,premium_annual,43,
usr_000156,Sarah,sarah_4375@hotmail.com,QA,Dammam,ios,2019-08-06,premium_annual,50,M
usr_000157,عائشة,عائشة_4654@gmail.com,QA,Taif,web,2021-07-14,premium,55,m
usr_000158,Omar,omar_9641@icloud.com,UK,Mecca,web,2023-12-20,trial,59,M
usr_000159,لمياء,لمياء_9120@yahoo.com,KW,Medina,ios,2023-03-26,premium_annual,25,M
usr_000160,زينب,زينب_9014@yahoo.com,AE,,web,18/05/2022,premium,49,M
usr_000161,سارة,سارة_5438@yahoo.com,OM,Buraidah,car_play,2022-12-02,trial,64,f
usr_000162,Khalid,khalid_6249@gmail.com,EG,Medina,ios,25/09/2021,premium_annual,48,female
usr_000163,Noura,noura_8815@icloud.com,SA,Mecca,android,2019-12-04T00:00:00,trial,29,m
usr_000164,Fahad,fahad_390@outlook.sa,UK,Jeddah,ios,2019-10-23,free,32,m
usr_000165,ياسر,ياسر_7095@yahoo.com,SA,Jeddah,car_play,2023-07-28T00:00:00,free,55,M
usr_000166,هند,هند_9938@gmail.com,QA,,smart_speaker,03-10-2020,trial,58,M
usr_000167,Fahad,fahad_4884@yahoo.com,SA,Taif,android,2022-04-23T00:00:00,free,,m
usr_000168,عائشة,عائشة_2334@hotmail.com,KW,Medina,android,2022-11-09,free,52,
usr_000169,Abdullah,abdullah_4763@gmail.com,QA,Buraidah,smart_speaker,2024-03-04,premium_annual,58,f
usr_000170,منى,منى_5380@icloud.com,US,Buraidah,android,2021-03-03,premium_annual,43,F
usr_000171,عمر,عمر_2201@yahoo.com,JO,Khobar,web,2023-11-22T00:00:00,trial,27,f
usr_000172,Abdullah,abdullah_1236@gmail.com,FR,Riyadh,car_play,2021-12-14T00:00:00,trial,29,M
usr_000173,زينب,زينب_4768@hotmail.com,JO,Jeddah,smart_speaker,2023-02-07T00:00:00,premium_annual,58,F
usr_000174,زينب,زينب_9271@hotmail.com,UK,,web,2024-01-02,free,47,F
usr_000175,عمر,عمر_6359@outlook.sa,JO,,ios,04-26-2021,premium_annual,49,f
usr_000176,عبدالله,عبدالله_8466@yahoo.com,EG,,android,03-31-2023,trial,38,female
usr_000177,لمياء,لمياء_3466@hotmail.com,KW,Buraidah,ios,2021-07-31,premium,37,f
usr_000178,Tariq,tariq_368@hotmail.com,SA,Buraidah,android,2020-10-22,premium,18,m
usr_000179,زينب,زينب_306@yahoo.com,AE,Buraidah,smart_speaker,2023-07-19,trial,42,m
usr_000180,خالد,خالد_7430@icloud.com,MA,Tabuk,smart_speaker,09-23-2024,premium,28,m
usr_000181,Hassan,hassan_640@icloud.com,LB,,ios,2024-05-03T00:00:00,trial,54,m
usr_000182,Aisha,aisha_7029@hotmail.com,DE,Tabuk,web,02-26-2023,free,32,female
usr_000183,محمد,محمد_9470@icloud.com,AE,Tabuk,android,11-21-2021,premium_annual,22,F
usr_000184,Yasser,yasser_3338@outlook.sa,LB,,smart_speaker,2022-02-02,premium,51,female
usr_000185,Sultan,sultan_3765@outlook.sa,DE,Dammam,ios,2023-06-19T00:00:00,premium,37,
usr_000186,Fahad,fahad_7728@icloud.com,EG,Medina,android,01-22-2019,premium_annual,,M
usr_000187,Noura,noura_8100@outlook.sa,SA,Taif,web,2019-08-24T00:00:00,premium,,m
usr_000188,Abdullah,abdullah_4521@outlook.sa,OM,Tabuk,car_play,2019-01-02,premium,63,f
usr_000189,لمياء,لمياء_3708@icloud.com,BH,Tabuk,car_play,2022-11-26,free,42,m
usr_000190,Lamia,lamia_8814@icloud.com,QA,Tabuk,car_play,24/04/2020,trial,64,male
usr_000191,لمياء,لمياء_1107@outlook.sa,US,,android,23/04/2019,premium,42,male
usr_000192,خالد,خالد_1246@icloud.com,KW,Khobar,android,16/01/2020,premium_annual,63,f
usr_000193,Sarah,sarah_3756@hotmail.com,FR,Buraidah,web,2021-09-18T00:00:00,premium,23,M
usr_000194,Omar,omar_5168@outlook.sa,MA,,smart_speaker,2019-06-23,premium,48,male
usr_000195,مريم,مريم_534@icloud.com,OM,Dammam,smart_speaker,30/09/2023,free,45,male
usr_000196,لمياء,لمياء_3067@icloud.com,QA,Abha,car_play,2022-08-25,premium_annual,47,female
usr_000197,نورة,نورة_9362@hotmail.com,MA,Jeddah,web,2023-06-29,premium,40,F
usr_000198,فاطمة,فاطمة_2204@icloud.com,LB,,smart_speaker,2019-02-09,premium_annual,52,M
usr_000199,سلطان,سلطان_7371@yahoo.com,QA,Taif,car_play,2021-11-07,premium_annual,42,M
usr_000200,Hind,hind_5819@yahoo.com,US,Abha,ios,2020-12-15T00:00:00,trial,45,f
usr_000201,Abdullah,abdullah_1297@hotmail.com,OM,Khobar,web,2023-07-16T00:00:00,premium_annual,41,male
usr_000202,نورة,نورة_379@hotmail.com,UK,Medina,ios,2024-01-19,premium,22,M
usr_000203,Aisha,aisha_1364@gmail.com,QA,Jeddah,smart_speaker,18/04/2019,premium_annual,63,male
usr_000204,Khalid,khalid_7802@outlook.sa,FR,Medina,car_play,2019-05-24,trial,60,m
usr_000205,مريم,,JO,Jeddah,smart_speaker,2023-11-17,premium_annual,32,F
usr_000206,فاطمة,فاطمة_8768@gmail.com,UK,,smart_speaker,2020-07-12T00:00:00,premium_annual,,female
usr_000207,نورة,نورة_6386@outlook.sa,BH,Tabuk,android,26/11/2023,premium_annual,63,m
usr_000208,منى,منى_7419@yahoo.com,UK,Mecca,web,2022-04-01,free,50,M
usr_000209,Reem,reem_1478@hotmail.com,SA,Khobar,smart_speaker,12-01-2023,premium_annual,47,male
usr_000210,ياسر,ياسر_1170@icloud.com,JO,Medina,smart_speaker,2019-08-18,free,65,f
usr_000211,سلطان,سلطان_8539@hotmail.com,JO,Medina,web,05-18-2019,premium,18,f
usr_000212,Sarah,sarah_1851@hotmail.com,US,Riyadh,android,2019-08-02,premium_annual,41,
usr_000213,Fahad,fahad_6085@gmail.com,BH,Jeddah,car_play,2024-04-30,premium_annual,64,f
usr_000214,ريم,ريم_5190@icloud.com,DE,Khobar,smart_speaker,2020-03-15,premium,,female
usr_000215,Mariam,mariam_4829@icloud.com,UK,Buraidah,android,2024-06-10T00:00:00,premium_annual,45,male
usr_000216,لمياء,لمياء_8874@yahoo.com,JO,Taif,smart_speaker,2024-01-15,premium,55,
usr_000217,Mariam,mariam_6349@hotmail.com,LB,Taif,android,2019-09-17,premium_annual,57,male
usr_000218,أحمد,أحمد_3311@gmail.com,JO,Riyadh,car_play,15/06/2020,trial,49,m
usr_000219,سارة,سارة_8052@gmail.com,JO,,ios,2019-10-18,premium_annual,42,
usr_000220,عبدالله,عبدالله_4980@gmail.com,BH,,ios,2021-12-24,free,50,female
usr_000221,مريم,مريم_6803@gmail.com,DE,Khobar,smart_speaker,2021-01-02,trial,26,
usr_000222,حسن,حسن_7259@yahoo.com,OM,Khobar,web,2020-10-09T00:00:00,trial,43,
usr_000223,منى,منى_7332@outlook.sa,SA,,web,2021-11-06,free,35,M
usr_000224,Lamia,lamia_9072@icloud.com,LB,Buraidah,android,2019-03-30,free,,male
usr_000225,هند,هند_1506@icloud.com,EG,Mecca,ios,2021-10-20T00:00:00,premium_annual,27,female
usr_000226,زينب,زينب_6252@gmail.com,DE,Khobar,web,2022-05-15T00:00:00,trial,23,
usr_000227,عائشة,عائشة_675@yahoo.com,LB,Khobar,car_play,2023-04-16T00:00:00,premium,59,f
usr_000228,ياسر,ياسر_2426@hotmail.com,OM,Buraidah,ios,2023-11-05T00:00:00,trial,41,m
usr_000229,Sarah,sarah_9195@icloud.com,UK,Mecca,ios,08/06/2023,premium_annual,36,f
usr_000230,عمر,عمر_9731@gmail.com,DE,Khobar,car_play,27/11/2022,trial,44,M
usr_000231,أحمد,أحمد_3983@icloud.com,KW,,web,18/12/2019,free,23,male
usr_000232,لمياء,لمياء_8992@outlook.sa,MA,,android,2021-04-14,free,58,m
usr_000233,محمد,محمد_1092@outlook.sa,US,Khobar,ios,2022-01-16,free,57,female
usr_000234,Fatima,fatima_9783@icloud.com,AE,Taif,smart_speaker,2020-02-12,free,,m
usr_000235,عمر,,BH,,car_play,2019-03-17T00:00:00,premium_annual,56,male
usr_000236,خالد,خالد_6437@hotmail.com,AE,,car_play,21/02/2022,premium,52,F
usr_000237,فهد,فهد_9520@icloud.com,US,,android,2020-06-23T00:00:00,premium_annual,49,F
usr_000238,مريم,مريم_8733@gmail.com,KW,Dammam,ios,2020-10-09,premium_annual,42,female
usr_000239,سارة,,KW,Buraidah,car_play,26/01/2022,premium_annual,55,F
usr_000240,Khalid,khalid_1932@hotmail.com,QA,Khobar,android,2024-05-20,trial,24,m
usr_000241,Sarah,sarah_3352@gmail.com,KW,,smart_speaker,2021-06-30T00:00:00,trial,45,F
usr_000242,Zainab,zainab_9729@icloud.com,LB,Riyadh,car_play,03/06/2023,free,18,F
usr_000243,منى,منى_6522@yahoo.com,DE,,smart_speaker,07-21-2019,premium,55,M
usr_000244,زينب,زينب_8953@hotmail.com,EG,Abha,ios,12/08/2024,premium,61,F
usr_000245,Sultan,sultan_1495@gmail.com,UK,Khobar,ios,02/11/2020,trial,48,m
usr_000246,فهد,فهد_2657@hotmail.com,KW,,ios,04/10/2022,trial,62,
usr_000247,لمياء,لمياء_201@outlook.sa,JO,,car_play,2021-04-10,free,47,F
usr_000248,حسن,حسن_108@hotmail.com,LB,Taif,android,2023-12-15,free,19,f
usr_000249,عبدالله,عبدالله_804@gmail.com,EG,,android,05-07-2022,premium_annual,60,f
usr_000250,هند,هند_5290@yahoo.com,EG,,smart_speaker,27/05/2019,free,24,M
usr_000251,Sultan,sultan_9362@icloud.com,AE,Buraidah,web,05-06-2021,trial,36,male
usr_000252,نورة,نورة_9985@hotmail.com,UK,Mecca,ios,07-31-2024,free,,f
usr_000253,مريم,,US,Medina,web,2019-07-06,free,48,m
usr_000254,زينب,زينب_478@hotmail.com,BH,Khobar,smart_speaker,2022-10-30T00:00:00,trial,57,F
usr_000255,Ahmed,ahmed_8538@yahoo.com,MA,,web,08-23-2023,free,59,male
usr_000256,ياسر,,MA,Dammam,car_play,08/05/2019,free,64,male
usr_000257,Omar,,BH,Dammam,ios,28/07/2024,premium_annual,65,F
usr_000258,خالد,,QA,,android,10/08/2024,free,49,f
usr_000259,أحمد,أحمد_9737@gmail.com,OM,Riyadh,ios,2020-04-19,premium_annual,,
usr_000260,مريم,مريم_5229@outlook.sa,US,Dammam,android,27/02/2021,premium_annual,55,m
usr_000261,Hind,hind_9406@hotmail.com,KW,Buraidah,web,08-02-2020,trial,,M
usr_000262,Zainab,zainab_7305@icloud.com,OM,Mecca,car_play,03/01/2021,free,64,
usr_000263,هند,هند_7626@outlook.sa,BH,,android,2024-04-02T00:00:00,premium_annual,41,F
usr_000264,سلطان,سلطان_5759@outlook.sa,JO,,web,2019-05-04,premium_annual,24,m
usr_000265,عبدالله,عبدالله_4950@icloud.com,JO,Tabuk,android,2022-08-27,premium,46,female
usr_000266,Tariq,tariq_9294@yahoo.com,LB,Dammam,ios,2023-11-01,trial,54,female
usr_000267,Abdullah,abdullah_9802@gmail.com,US,,smart_speaker,2022-06-15,premium_annual,58,M
usr_000268,Fahad,fahad_7422@icloud.com,QA,Buraidah,smart_speaker,01-01-2019,premium,36,male
usr_000269,Zainab,zainab_134@icloud.com,LB,Dammam,web,2022-11-11,free,51,M
usr_000270,Mohammed,mohammed_3855@outlook.sa,UK,Khobar,smart_speaker,25/03/2020,trial,50,F
usr_000271,Fahad,fahad_4727@hotmail.com,KW,Riyadh,android,2023-01-15,trial,24,M
usr_000272,Mona,mona_8347@outlook.sa,LB,,smart_speaker,2023-10-10,premium_annual,43,m
usr_000273,مريم,مريم_9443@yahoo.com,SA,,car_play,08-17-2024,trial,23,m
usr_000274,عبدالله,عبدالله_8575@icloud.com,AE,Jeddah,car_play,18/02/2022,premium_annual,37,m
usr_000275,هند,هند_4739@hotmail.com,SA,Buraidah,web,2022-09-19T00:00:00,premium_annual,,female
usr_000276,عبدالله,عبدالله_2078@icloud.com,AE,,web,22/04/2019,premium_annual,33,male
usr_000277,Omar,omar_2874@yahoo.com,DE,,smart_speaker,2020-09-11T00:00:00,premium,18,male
usr_000278,Reem,reem_7212@hotmail.com,BH,Khobar,ios,2023-08-19,premium_annual,23,M
usr_000279,ياسر,,KW,Tabuk,ios,2021-08-15T00:00:00,premium_annual,44,female
usr_000280,Tariq,tariq_4467@yahoo.com,QA,Jeddah,web,2022-12-20,trial,59,f
usr_000281,Noura,noura_5133@icloud.com,SA,Jeddah,ios,14/10/2022,trial,,M
